  9.4998626E-01  1.3734851E-05  2.2773194E-10  4.3302863E-15  9.4428398E-20  2.3614675E-24  6.7725672E-29  2.2275016E-33  8.4018720E-38  3.6343559E-42  1.8029023E-46  1.0256698E-50  6.6917392E-55  5.0068097E-59  4.2960942E-63  4.2274898E-67  4.7707581E-71  6.1742308E-75  9.1636599E-79  1.5597361E-82  3.0445557E-86  6.8154225E-90  1.7496544E-93  5.1511288E-97  1.7391963-100  6.7342751-104  2.9903245-107  1.5227964-110  8.8932691-114  5.9563070-117  4.5748614-120  4.0297199-123  4.0706881-126  4.7156985-129  6.2649885-132  9.5453221-135  1.6678499-137  3.3420161-140  7.6799110-143  2.0239505-145  6.1170165-148  2.1201404-150  8.4272459-153  3.8414211-155  2.0081913-157  1.2039361-159  8.2772683-162
  9.4998588E-01  1.3768418E-05  2.2852758E-10  4.3661913E-15 -1.2722453E-17 -1.2419440E-17 -1.6815948E-17  6.2681624E-17  1.0778259E-17 -1.1691995E-17 -6.9093531E-18  1.8748880E-17 -1.7894476E-17  6.3660656E-18 -1.4511206E-17  3.7195286E-18  8.6429647E-18 -3.0494178E-18 -3.6195727E-18 -5.1781933E-18 -1.2415681E-18  3.0320194E-18  5.7465880E-18 -2.8488907E-18 -2.9464396E-18  5.2504921E-18  7.2835974E-18 -5.0586726E-18  3.7255717E-18 -2.1530395E-18 -3.6317489E-18  8.7256254E-18 -1.5975768E-18  4.5429917E-18  4.4522493E-18  6.4972309E-18 -2.8776346E-18  4.3984650E-19  8.7023235E-19  5.8722566E-19  1.3261506E-18  1.3351864E-18  7.5204961E-20 -1.5919299E-18 -1.1924603E-19  1.3586097E-19  1.7448560E-18
  9.4998582E-01  1.3774356E-05  2.2866881E-10  4.3455859E-15  4.3917680E-18 -2.3935784E-17 -4.0135305E-18  5.0390901E-17 -2.0103931E-18 -1.1198152E-17 -5.0692538E-18  1.9188308E-17 -6.7098390E-18  3.0882792E-18 -7.8671937E-18  8.6468117E-18  6.9531633E-18  1.1289188E-18 -6.5548302E-18 -8.6681844E-18 -5.2501892E-18  9.0227821E-20  3.2244908E-18 -5.9976004E-18  5.3054184E-18  6.1019354E-19  9.0655062E-18 -3.0503883E-18  5.3253934E-18 -7.3128752E-18 -1.1756731E-18  8.6377485E-18  3.1940466E-19  6.1059484E-18  5.3242795E-19  8.0136322E-18 -1.1074479E-18  2.0055363E-18  9.7526083E-20 -5.1623244E-19  2.0255917E-18  6.1253955E-20  7.3895277E-19 -1.8662071E-18  6.4318142E-19  6.0885124E-19  2.8534111E-18
  9.4998575E-01  1.3780293E-05  2.2881012E-10  4.3412476E-15 -4.7822725E-18  1.8492282E-18  1.4820195E-17  2.1672619E-17 -6.3585266E-18  2.4698443E-18 -4.4187706E-18  2.0420576E-17 -6.2397494E-18  1.2134362E-18 -1.0361576E-17  1.4804147E-17  1.9783644E-18  1.8178479E-18 -5.3975470E-18 -7.6480429E-18  3.4326004E-18 -2.2396023E-18  6.1090786E-18 -8.8189592E-18  6.8340157E-18  2.3043105E-18  1.0343704E-17 -6.3752646E-18  6.6160649E-18 -1.1187080E-17  8.0893967E-21  8.0711463E-18  1.4044432E-18  7.5807872E-18  2.3937418E-18  3.6217502E-18  4.4256935E-19  4.2866370E-18  1.2253766E-19 -8.2917661E-20  1.7585703E-18  7.6073020E-20  7.1665410E-19 -1.3928403E-18  3.3596208E-19  3.0244716E-19  9.3235282E-19
  9.4998568E-01  1.3786229E-05  2.2895154E-10  4.3489387E-15  8.4556112E-18 -2.2470312E-17  2.2782351E-17  1.1453564E-17 -7.2137952E-18  3.8653166E-18 -1.0727604E-17  2.0811574E-17 -6.5169424E-18 -1.1483964E-18 -1.3223310E-17  1.2592908E-17  5.7477844E-18 -3.8044941E-18 -1.1394982E-17 -1.3604515E-17  9.9458397E-18  6.7860421E-19  3.9301367E-18 -1.0612055E-17  5.2224515E-18  1.2419004E-18  9.0046412E-18 -7.7056670E-18  9.3851256E-18 -8.3085105E-18 -1.4618438E-18  8.2432065E-18 -1.4949251E-18  4.9945505E-18 -4.8379773E-19  8.5308832E-19  2.1743970E-18  3.9718038E-18 -3.1645474E-19 -7.6324429E-19  9.3155186E-19 -3.4940158E-19  1.7195610E-18 -1.2616249E-18  4.6060973E-20  1.4269637E-20 -1.3343124E-18
  9.4998561E-01  1.3792163E-05  2.2909302E-10  4.3592054E-15  8.5738200E-19 -4.5218271E-17  3.0085237E-17  1.2189407E-17 -8.9692605E-19  1.4394321E-17 -1.7420610E-17  1.3358920E-17  1.9825516E-19 -1.8142080E-18 -1.3684357E-17  1.1176401E-17  4.2296571E-18 -5.4536953E-18 -6.6972697E-18 -1.7211732E-17  1.0275648E-17 -3.0775562E-18  4.3539235E-18 -9.9449869E-18  5.7341940E-18  1.8671295E-18  9.3443140E-18 -7.1164382E-18  5.4621370E-18 -7.7306237E-18 -8.6572168E-19  8.1302856E-18 -9.0652299E-19  5.4651449E-18  2.9232828E-18  1.5991130E-19  1.4960257E-18  3.1937886E-18  8.8135827E-19 -1.1977913E-18  1.7774504E-18 -7.1032440E-19  1.0112770E-18 -2.7735307E-19 -2.2054991E-19  4.8165396E-19 -1.0849196E-18
  9.4998550E-01  1.3802025E-05  2.2932846E-10  4.4061948E-15  2.4207839E-17 -4.0399578E-18  6.1692640E-17 -3.2381514E-17  6.8572202E-18 -8.5778582E-18 -4.1284439E-17  9.3939481E-18 -1.1869597E-17  1.3436284E-17 -3.3485026E-17 -1.1172825E-17  7.1062144E-19 -7.4270360E-18 -1.0408341E-17  5.1008084E-19  1.3927276E-17  2.3612386E-17  2.3857667E-17 -9.1891113E-18  6.3891013E-18  6.0923309E-18  2.3061516E-17  2.5609550E-18  1.3188994E-17 -4.1288362E-19 -7.0238278E-18 -7.9264243E-18 -6.6487912E-18 -3.1269532E-18 -4.0041423E-18 -5.8764395E-18  8.7380122E-18 -2.5846691E-18  1.4484207E-18 -4.3131826E-19 -2.6914229E-18  2.8991583E-19  7.7303882E-19  1.2321848E-19 -2.4651538E-18 -1.4633260E-18  5.2327306E-18
  9.4998539E-01  1.3811885E-05  2.2956439E-10  4.1151357E-15 -1.1919345E-15  1.1177229E-15  8.9935986E-16 -3.4685311E-16 -1.4868181E-16 -1.9690857E-16 -2.1571889E-16  2.5758456E-16 -3.0109175E-16  5.2030314E-16 -1.6930995E-17  3.4405074E-17 -1.7092722E-16  4.7489126E-17  2.6138720E-17  5.7504038E-17  8.9885572E-17  7.9466639E-17  4.8880409E-17 -1.7803392E-16 -3.4813890E-18 -4.6996569E-18  1.2561838E-17 -1.7368109E-17 -1.9050255E-16  1.4542794E-16 -4.8357434E-17  2.1321635E-16  9.0050955E-17 -1.4179460E-16  9.8121568E-17  9.2587494E-17  8.1874839E-17 -3.5338666E-17 -2.6357824E-17  5.7208039E-17 -2.5803892E-17 -8.8883305E-18  1.0613633E-16  9.7848466E-18  6.3858547E-18  5.9599220E-18  4.6698731E-17
  9.4998528E-01  1.3821741E-05  2.2980030E-10  4.1408271E-15 -1.1644975E-15  1.1048787E-15  9.0239823E-16 -3.4572380E-16 -1.3881099E-16 -1.7659677E-16 -2.1408624E-16  2.6482940E-16 -3.0162958E-16  5.2029457E-16 -1.5832806E-17  4.7969054E-17 -1.7550969E-16  4.0553554E-17  3.5654342E-17  4.3822037E-17  8.7313288E-17  7.6717666E-17  4.4114948E-17 -1.6054449E-16 -6.9197136E-19 -5.6702990E-18 -3.2851229E-19 -2.0519550E-17 -1.8540381E-16  1.4197358E-16 -3.5763387E-17  2.2118549E-16  8.9676474E-17 -1.4283878E-16  8.8436461E-17  8.2314333E-17  7.0146895E-17 -3.3514529E-17 -2.3733756E-17  4.7749451E-17 -2.1662220E-17 -6.6959893E-18  7.3701963E-17  5.7266882E-18  3.1755413E-18  2.5990332E-18  1.7471401E-17
  9.4998516E-01  1.3831595E-05  2.3003664E-10  4.1515290E-15 -1.1657536E-15  1.0453800E-15  8.6858188E-16 -3.6777713E-16 -1.3504856E-16 -1.9284595E-16 -1.9257135E-16  2.6861918E-16 -2.8800140E-16  5.1822480E-16  3.3268770E-18  4.2609044E-17 -1.6327847E-16  3.6554124E-17  3.4375190E-17  5.7380580E-17  8.8529490E-17  7.7672236E-17  4.3305957E-17 -1.4317095E-16 -6.5658669E-18 -1.1228613E-17 -5.3984872E-18 -2.6898908E-17 -1.8463347E-16  1.3481693E-16 -3.6593884E-17  2.2696951E-16  8.0591312E-17 -1.4179681E-16  9.2209539E-17  8.2412892E-17  6.7467237E-17 -3.1960647E-17 -2.1698034E-17  3.9144466E-17 -1.8913155E-17 -5.4465575E-18  5.2748933E-17  4.7633129E-18  9.6543702E-19  1.9574049E-18  9.3969906E-18
  9.4998505E-01  1.3841446E-05  2.3027298E-10  3.7394165E-15 -1.2842362E-15  1.3305506E-15  8.9020884E-16 -3.7277335E-16 -1.4856512E-16 -2.0289142E-16 -1.6132863E-16  2.8369966E-16 -2.8610761E-16  5.2319608E-16 -3.8418741E-18  3.1181859E-17 -1.4756015E-16  3.1059472E-17  3.0299595E-17  6.1640578E-17  1.0503419E-16  8.8879279E-17  4.3096130E-17 -1.3793833E-16 -5.6231190E-18 -1.7857526E-17 -3.1013385E-18 -2.1251995E-17 -1.7966636E-16  1.3126512E-16 -3.4176825E-17  2.1224522E-16  7.6032509E-17 -1.3695172E-16  8.9174878E-17  7.8824180E-17  6.7275598E-17 -2.6478673E-17 -1.6284067E-17  3.2687430E-17 -1.5964171E-17 -4.4011353E-18  3.8364653E-17  2.8180701E-18  3.8977679E-19  7.7700073E-19 -3.6599667E-18
