  7.3136046E-15  1.1940654E-06  9.5000000E-01  5.0000000E-02  0.0000000E+00  9.3872473-323  0.0000000E+00
  1.4627209E-14  2.3881308E-06  9.5000000E-01  4.9999999E-02  7.9077393E-15  1.5193473E-11  1.6921402E-09
  2.1940812E-14  3.5821960E-06  9.5000000E-01  4.9999998E-02  2.2786797E-14  3.0392693E-11  3.3842746E-09
  5.4102894E-14  8.8331812E-06  9.5000000E-01  4.9999997E-02  4.4353880E-14  4.5597422E-11  5.0764030E-09
  8.6264976E-14  1.4084166E-05  9.4999999E-01  4.9999993E-02  2.9018299E-13  1.1258568E-10  1.2517531E-08
  1.1842705E-13  1.9335151E-05  9.4999999E-01  4.9999990E-02  6.6656812E-13  1.7968147E-10  1.9958551E-08
  1.5058913E-13  2.4586136E-05  9.4999999E-01  4.9999986E-02  1.1706247E-12  2.4688238E-10  2.7399463E-08
  2.6294898E-13  4.2930717E-05  9.4999998E-01  4.9999982E-02  1.8008791E-12  3.1418719E-10  3.4840272E-08
  3.7530882E-13  6.1275295E-05  9.4999997E-01  4.9999968E-02  5.8577626E-12  5.5084373E-10  6.0833578E-08
  4.8766865E-13  7.9619874E-05  9.4999996E-01  4.9999954E-02  1.1483946E-11  7.8878875E-10  8.6825582E-08
  6.0002849E-13  9.7964452E-05  9.4999995E-01  4.9999941E-02  1.8657752E-11  1.0280032E-09  1.1281631E-07
  8.7988670E-13  1.4365588E-04  9.4999993E-01  4.9999927E-02  2.7366905E-11  1.2684757E-09  1.3880576E-07
  1.1597449E-12  1.8934729E-04  9.4999990E-01  4.9999893E-02  6.0424580E-11  1.8766904E-09  2.0352920E-07
  1.4396030E-12  2.3503871E-04  9.4999987E-01  4.9999859E-02  1.0313297E-10  2.4927622E-09  2.6824470E-07
  1.7194613E-12  2.8073014E-04  9.4999984E-01  4.9999825E-02  1.5541336E-10  3.1166077E-09  3.3295238E-07
  1.9993194E-12  3.2642155E-04  9.4999981E-01  4.9999791E-02  2.1721915E-10  3.7481698E-09  3.9765230E-07
  2.5474033E-12  4.1590520E-04  9.4999978E-01  4.9999757E-02  2.8852119E-10  4.3874052E-09  4.6234447E-07
  3.0954870E-12  5.0538882E-04  9.4999971E-01  4.9999690E-02  4.7141622E-10  5.6738853E-09  5.8900503E-07
  3.6435709E-12  5.9487247E-04  9.4999965E-01  4.9999624E-02  6.9115474E-10  6.9897794E-09  7.1563592E-07
  4.1916548E-12  6.8435612E-04  9.4999959E-01  4.9999557E-02  9.4763012E-10  8.3348600E-09  8.4223748E-07
  4.7397387E-12  7.7383976E-04  9.4999953E-01  4.9999491E-02  1.2407869E-09  9.7089407E-09  9.6880982E-07
  5.2878222E-12  8.6332334E-04  9.4999947E-01  4.9999424E-02  1.5706018E-09  1.1111863E-08  1.0953531E-06
  6.1990093E-12  1.0120895E-03  9.4999941E-01  4.9999357E-02  1.9370729E-09  1.2543485E-08  1.2218674E-06
  7.1101960E-12  1.1608556E-03  9.4999930E-01  4.9999246E-02  2.6656279E-09  1.5015348E-08  1.4321048E-06
