  7.3136046E-15  1.1940654E-06  6.7166581E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  1.4627209E-14  2.3881308E-06  6.7166581E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  2.1940812E-14  3.5821960E-06  6.7166581E+02  6.7961981E-07  2.3714272E-03  1.9081576E-01
  5.4102894E-14  8.8331812E-06  6.7166581E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  8.6264976E-14  1.4084166E-05  6.7166581E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  1.1842705E-13  1.9335151E-05  6.7166580E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  1.5058913E-13  2.4586136E-05  6.7166580E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  2.6294898E-13  4.2930717E-05  6.7166579E+02  6.7961982E-07  2.3714272E-03  1.9081575E-01
  3.7530882E-13  6.1275295E-05  6.7166577E+02  6.7961980E-07  2.3714270E-03  1.9081572E-01
  4.8766865E-13  7.9619874E-05  6.7166575E+02  6.7961977E-07  2.3714269E-03  1.9081571E-01
  6.0002849E-13  9.7964452E-05  6.7166574E+02  6.7961979E-07  2.3714269E-03  1.9081570E-01
  8.7988670E-13  1.4365588E-04  6.7166572E+02  6.7961978E-07  2.3714268E-03  1.9081569E-01
  1.1597449E-12  1.8934729E-04  6.7166567E+02  6.7961971E-07  2.3714262E-03  1.9081560E-01
  1.4396030E-12  2.3503871E-04  6.7166563E+02  6.7961964E-07  2.3714254E-03  1.9081546E-01
  1.7194613E-12  2.8073014E-04  6.7166559E+02  6.7961942E-07  2.3714246E-03  1.9081540E-01
  1.9993194E-12  3.2642155E-04  6.7166554E+02  6.7961931E-07  2.3714238E-03  1.9081529E-01
  2.5474033E-12  4.1590520E-04  6.7166550E+02  6.7961919E-07  2.3714230E-03  1.9081519E-01
  3.0954870E-12  5.0538882E-04  6.7166541E+02  6.7961863E-07  2.3714195E-03  1.9081479E-01
  3.6435709E-12  5.9487247E-04  6.7166532E+02  6.7961822E-07  2.3714170E-03  1.9081442E-01
  4.1916548E-12  6.8435612E-04  6.7166524E+02  6.7961786E-07  2.3714143E-03  1.9081401E-01
  4.7397387E-12  7.7383976E-04  6.7166515E+02  6.7961748E-07  2.3714119E-03  1.9081367E-01
  5.2878222E-12  8.6332334E-04  6.7166506E+02  6.7961706E-07  2.3714090E-03  1.9081330E-01
  6.1990093E-12  1.0120895E-03  6.7166497E+02  6.7961663E-07  2.3714062E-03  1.9081292E-01
  7.1101960E-12  1.1608556E-03  6.7166483E+02  6.7961535E-07  2.3713977E-03  1.9081179E-01
  8.0213832E-12  1.3096218E-03  6.7166468E+02  6.7961407E-07  2.3713889E-03  1.9081058E-01
