  7.3136046E-15  1.1940654E-06  7.3378950E+03  3.0000000E+02  3.0000000E+02            NaN
  1.4627209E-14  2.3881308E-06  7.3378950E+03  3.0000016E+02  2.9999987E+02  7.4822648E+03
  2.1940812E-14  3.5821960E-06  7.3378950E+03  3.0000031E+02  2.9999974E+02  7.4822780E+03
  5.4102894E-14  8.8331812E-06  7.3378950E+03  3.0000047E+02  2.9999962E+02  7.4822927E+03
  8.6264976E-14  1.4084166E-05  7.3378949E+03  3.0000115E+02  2.9999906E+02  7.4825681E+03
  1.1842705E-13  1.9335151E-05  7.3378948E+03  3.0000184E+02  2.9999850E+02  7.4826588E+03
  1.5058913E-13  2.4586136E-05  7.3378947E+03  3.0000252E+02  2.9999794E+02  7.4827366E+03
  2.6294898E-13  4.2930717E-05  7.3378947E+03  3.0000320E+02  2.9999737E+02  7.4828105E+03
  3.7530882E-13  6.1275295E-05  7.3378944E+03  3.0000559E+02  2.9999542E+02  7.4835625E+03
  4.8766865E-13  7.9619874E-05  7.3378942E+03  3.0000798E+02  2.9999346E+02  7.4839281E+03
  6.0002849E-13  9.7964452E-05  7.3378939E+03  3.0001037E+02  2.9999150E+02  7.4842259E+03
  8.7988670E-13  1.4365588E-04  7.3378937E+03  3.0001276E+02  2.9998954E+02  7.4845004E+03
  1.1597449E-12  1.8934729E-04  7.3378931E+03  3.0001871E+02  2.9998466E+02  7.4859201E+03
  1.4396030E-12  2.3503871E-04  7.3378924E+03  3.0002465E+02  2.9997978E+02  7.4868296E+03
  1.7194613E-12  2.8073014E-04  7.3378918E+03  3.0003060E+02  2.9997491E+02  7.4875920E+03
  1.9993194E-12  3.2642155E-04  7.3378912E+03  3.0003654E+02  2.9997003E+02  7.4882921E+03
  2.5474033E-12  4.1590520E-04  7.3378906E+03  3.0004248E+02  2.9996515E+02  7.4889599E+03
  3.0954870E-12  5.0538882E-04  7.3378893E+03  3.0005411E+02  2.9995560E+02  7.4910146E+03
  3.6435709E-12  5.9487247E-04  7.3378881E+03  3.0006573E+02  2.9994605E+02  7.4926593E+03
  4.1916548E-12  6.8435612E-04  7.3378869E+03  3.0007735E+02  2.9993650E+02  7.4941209E+03
  4.7397387E-12  7.7383976E-04  7.3378857E+03  3.0008896E+02  2.9992696E+02  7.4954842E+03
  5.2878222E-12  8.6332334E-04  7.3378844E+03  3.0010056E+02  2.9991741E+02  7.4967879E+03
